Building Name ESP;Building Name ING;Current Level;Goal Level;Total Fps;Owner Investment;P1 Reward;P2 Reward;P3 Reward;P4 Reward;P5 Reward;P1 Reward (Arc Level 80);P2 Reward (Arc Level 80);P3 Reward (Arc Level 80);P4 Reward (Arc Level 80);P5 Reward (Arc Level 80)
Alcatraz;Alcatraz;19;20;1063;407;200;100;35;10;0;380;190;67;19;0
Alcatraz;Alcatraz;20;21;1090;386;215;110;35;10;0;409;209;67;19;0
Alcatraz;Alcatraz;21;22;1117;375;225;115;40;10;0;428;219;76;19;0
Alcatraz;Alcatraz;22;23;1145;366;240;120;40;10;0;456;228;76;19;0
Alcatraz;Alcatraz;23;24;1173;365;250;125;40;10;0;475;238;76;19;0
Alcatraz;Alcatraz;24;25;1203;337;265;135;45;10;0;504;257;86;19;0
Alcatraz;Alcatraz;25;26;1233;339;275;140;45;10;0;523;266;86;19;0
Alcatraz;Alcatraz;26;27;1263;302;290;145;50;15;5;551;276;95;29;10
Alcatraz;Alcatraz;27;28;1295;306;300;150;50;15;5;570;285;95;29;10
Alcatraz;Alcatraz;28;29;1327;280;315;160;55;15;5;599;304;105;29;10
Alcatraz;Alcatraz;29;30;1361;276;330;165;55;15;5;627;314;105;29;10
Alcatraz;Alcatraz;30;31;1395;282;340;170;55;15;5;646;323;105;29;10
Alcatraz;Alcatraz;31;32;1429;259;355;180;60;15;5;675;342;114;29;10
Alcatraz;Alcatraz;32;33;1465;257;370;185;60;15;5;703;352;114;29;10
Alcatraz;Alcatraz;33;34;1502;236;385;195;65;15;5;732;371;124;29;10
Alcatraz;Alcatraz;34;35;1539;245;395;200;65;15;5;751;380;124;29;10
Alcatraz;Alcatraz;35;36;1578;228;410;205;70;20;5;779;390;133;38;10
Alcatraz;Alcatraz;36;37;1617;219;425;215;70;20;5;808;409;133;38;10
Alcatraz;Alcatraz;37;38;1658;213;440;220;75;20;5;836;418;143;38;10
Alcatraz;Alcatraz;38;39;1699;225;450;225;75;20;5;855;428;143;38;10
Alcatraz;Alcatraz;39;40;1741;210;465;235;80;20;5;884;447;152;38;10
Alcatraz;Alcatraz;40;41;1785;217;480;240;80;20;5;912;456;152;38;10
Alcatraz;Alcatraz;41;42;1830;204;495;250;85;20;5;941;475;162;38;10
Alcatraz;Alcatraz;42;43;1875;211;510;255;85;20;5;969;485;162;38;10
Alcatraz;Alcatraz;43;44;1922;191;525;265;90;25;5;998;504;171;48;10
Alcatraz;Alcatraz;44;45;1970;211;535;270;90;25;5;1017;513;171;48;10
Alcatraz;Alcatraz;45;46;2020;223;550;275;90;25;5;1045;523;171;48;10
Alcatraz;Alcatraz;46;47;2070;215;565;285;95;25;5;1074;542;181;48;10
Alcatraz;Alcatraz;47;48;2122;230;580;290;95;25;5;1102;551;181;48;10
Alcatraz;Alcatraz;48;49;2175;226;595;300;100;25;5;1131;570;190;48;10
Alcatraz;Alcatraz;49;50;2229;242;610;305;100;25;5;1159;580;190;48;10
Alcatraz;Alcatraz;50;51;2285;240;625;315;105;25;5;1188;599;200;48;10
Alcatraz;Alcatraz;51;52;2342;260;640;320;105;25;5;1216;608;200;48;10
Alcatraz;Alcatraz;52;53;2400;252;655;330;110;30;5;1245;627;209;57;10
Alcatraz;Alcatraz;53;54;2460;274;670;335;110;30;5;1273;637;209;57;10
Alcatraz;Alcatraz;54;55;2522;278;685;345;115;30;5;1302;656;219;57;10
Alcatraz;Alcatraz;55;56;2585;304;700;350;115;30;5;1330;665;219;57;10
Alcatraz;Alcatraz;56;57;2650;312;715;360;120;30;5;1359;684;228;57;10
Alcatraz;Alcatraz;57;58;2716;340;730;365;120;30;5;1387;694;228;57;10
Alcatraz;Alcatraz;58;59;2784;350;745;375;125;30;5;1416;713;238;57;10
Alcatraz;Alcatraz;59;60;2853;382;760;380;125;30;5;1444;722;238;57;10
Alcatraz;Alcatraz;60;61;2925;387;775;390;130;35;5;1473;741;247;67;10
Alcatraz;Alcatraz;61;62;2998;422;790;395;130;35;5;1501;751;247;67;10
Alcatraz;Alcatraz;62;63;3073;439;805;405;135;35;5;1530;770;257;67;10
Alcatraz;Alcatraz;63;64;3149;478;820;410;135;35;5;1558;779;257;67;10
Alcatraz;Alcatraz;64;65;3228;500;835;420;140;35;5;1587;798;266;67;10
Alcatraz;Alcatraz;65;66;3309;514;855;430;145;35;5;1625;817;276;67;10
Alcatraz;Alcatraz;66;67;3392;559;870;435;145;35;5;1653;827;276;67;10
Alcatraz;Alcatraz;67;68;3476;568;885;445;150;40;10;1682;846;285;76;19
Alcatraz;Alcatraz;68;69;3563;618;900;450;150;40;10;1710;855;285;76;19
Alcatraz;Alcatraz;69;70;3652;649;915;460;155;40;10;1739;874;295;76;19
Alcatraz;Alcatraz;70;71;3744;703;930;465;155;40;10;1767;884;295;76;19
Alcatraz;Alcatraz;71;72;3837;739;945;475;160;40;10;1796;903;304;76;19
Alcatraz;Alcatraz;72;73;3933;778;965;485;160;40;10;1834;922;304;76;19
Alcatraz;Alcatraz;73;74;4031;829;980;490;165;40;10;1862;931;314;76;19
Alcatraz;Alcatraz;74;75;4132;882;995;500;165;40;10;1891;950;314;76;19
Alcatraz;Alcatraz;75;76;4235;928;1010;505;170;45;10;1919;960;323;86;19
Alcatraz;Alcatraz;76;77;4341;986;1025;515;170;45;10;1948;979;323;86;19
Alcatraz;Alcatraz;77;78;4450;1028;1045;525;175;45;10;1986;998;333;86;19
Alcatraz;Alcatraz;78;79;4561;1102;1060;530;175;45;10;2014;1007;333;86;19
Alcatraz;Alcatraz;79;80;4675;1159;1075;540;180;45;10;2043;1026;342;86;19
Alcatraz;Alcatraz;80;81;4792;1238;1090;545;180;45;10;2071;1036;342;86;19
Alcatraz;Alcatraz;81;82;4912;1291;1110;555;185;45;10;2109;1055;352;86;19
Alcatraz;Alcatraz;82;83;5035;1348;1125;565;190;50;10;2138;1074;361;95;19
Alcatraz;Alcatraz;83;84;5160;1436;1140;570;190;50;10;2166;1083;361;95;19
Alcatraz;Alcatraz;84;85;5289;1498;1160;580;195;50;10;2204;1102;371;95;19
Alcatraz;Alcatraz;85;86;5422;1583;1175;590;195;50;10;2233;1121;371;95;19
Alcatraz;Alcatraz;86;87;5557;1671;1190;595;200;50;10;2261;1131;380;95;19
Alcatraz;Alcatraz;87;88;5696;1762;1205;605;200;50;10;2290;1150;380;95;19
Alcatraz;Alcatraz;88;89;5838;1837;1225;615;205;50;10;2328;1169;390;95;19
Alcatraz;Alcatraz;89;90;5984;1946;1240;620;205;50;10;2356;1178;390;95;19
Alcatraz;Alcatraz;90;91;6134;2029;1255;630;210;55;10;2385;1197;399;105;19
Alcatraz;Alcatraz;91;92;6287;2115;1275;640;215;55;10;2423;1216;409;105;19
Alcatraz;Alcatraz;92;93;6445;2235;1290;645;215;55;10;2451;1226;409;105;19
Alcatraz;Alcatraz;93;94;6606;2339;1305;655;220;55;10;2480;1245;418;105;19
Alcatraz;Alcatraz;94;95;6771;2447;1325;665;220;55;10;2518;1264;418;105;19
Alcatraz;Alcatraz;95;96;6940;2569;1340;670;225;55;10;2546;1273;428;105;19
Alcatraz;Alcatraz;96;97;7114;2695;1355;680;225;55;10;2575;1292;428;105;19
Alcatraz;Alcatraz;97;98;7291;2797;1375;690;230;60;10;2613;1311;437;114;19
Alcatraz;Alcatraz;98;99;7474;2942;1390;695;230;60;10;2641;1321;437;114;19
Alcatraz;Alcatraz;99;100;7660;3061;1410;705;235;60;10;2679;1340;447;114;19
Alcatraz;Alcatraz;100;101;7852;3196;1425;715;240;60;10;2708;1359;456;114;19
Alcatraz;Alcatraz;101;102;8048;3355;1440;720;240;60;10;2736;1368;456;114;19
Alcatraz;Alcatraz;102;103;8249;3489;1460;730;245;60;10;2774;1387;466;114;19
Alcatraz;Alcatraz;103;104;8456;3648;1475;740;245;60;10;2803;1406;466;114;19
Alcatraz;Alcatraz;104;105;8667;3792;1490;745;250;65;15;2831;1416;475;124;29
Alcatraz;Alcatraz;105;106;8884;3952;1510;755;250;65;15;2869;1435;475;124;29
Alcatraz;Alcatraz;106;107;9106;4116;1525;765;255;65;15;2898;1454;485;124;29
Alcatraz;Alcatraz;107;108;9333;4277;1545;775;260;65;15;2936;1473;494;124;29
Alcatraz;Alcatraz;108;109;9567;4474;1560;780;260;65;15;2964;1482;494;124;29
Alcatraz;Alcatraz;109;110;9806;4646;1580;790;265;65;15;3002;1501;504;124;29
Alcatraz;Alcatraz;110;111;10051;4843;1595;800;265;65;15;3031;1520;504;124;29
Alcatraz;Alcatraz;111;112;10302;5019;1615;810;270;70;15;3069;1539;513;133;29
Alcatraz;Alcatraz;112;113;10560;5239;1630;815;270;70;15;3097;1549;513;133;29
Alcatraz;Alcatraz;113;114;10824;5436;1650;825;275;70;15;3135;1568;523;133;29
Alcatraz;Alcatraz;114;115;11094;5649;1665;835;280;70;15;3164;1587;532;133;29
Alcatraz;Alcatraz;115;116;11372;5870;1685;845;280;70;15;3202;1606;532;133;29
Alcatraz;Alcatraz;116;117;11656;6107;1700;850;285;70;15;3230;1615;542;133;29
Alcatraz;Alcatraz;117;118;11947;6350;1715;860;285;70;15;3259;1634;542;133;29
Alcatraz;Alcatraz;118;119;12246;6573;1735;870;290;75;15;3297;1653;551;143;29
Alcatraz;Alcatraz;119;120;12552;6812;1755;880;295;75;15;3335;1672;561;143;29
Alcatraz;Alcatraz;120;121;12866;7088;1770;885;295;75;15;3363;1682;561;143;29
Alcatraz;Alcatraz;121;122;13188;7344;1790;895;300;75;15;3401;1701;570;143;29
Alcatraz;Alcatraz;122;123;13517;7625;1805;905;300;75;15;3430;1720;570;143;29
Alcatraz;Alcatraz;123;124;13855;7896;1825;915;305;75;15;3468;1739;580;143;29
Alcatraz;Alcatraz;124;125;14202;8206;1840;920;305;75;15;3496;1748;580;143;29
Alcatraz;Alcatraz;125;126;14557;8486;1860;930;310;80;15;3534;1767;589;152;29
Alcatraz;Alcatraz;126;127;14921;8792;1875;940;315;80;15;3563;1786;599;152;29
Alcatraz;Alcatraz;127;128;15294;9108;1895;950;315;80;15;3601;1805;599;152;29
Alcatraz;Alcatraz;128;129;15676;9424;1915;960;320;80;15;3639;1824;608;152;29
Alcatraz;Alcatraz;129;130;16068;9778;1930;965;320;80;15;3667;1834;608;152;29
Alcatraz;Alcatraz;130;131;16469;10112;1950;975;325;80;15;3705;1853;618;152;29
Alcatraz;Alcatraz;131;132;16881;10457;1965;985;330;85;15;3734;1872;627;162;29
Alcatraz;Alcatraz;132;133;17303;10822;1985;995;330;85;15;3772;1891;627;162;29
Alcatraz;Alcatraz;133;134;17736;11208;2000;1000;335;85;15;3800;1900;637;162;29
Alcatraz;Alcatraz;134;135;18179;11594;2020;1010;335;85;15;3838;1919;637;162;29
Alcatraz;Alcatraz;135;136;18634;11983;2040;1020;340;85;15;3876;1938;646;162;29
Alcatraz;Alcatraz;136;137;19099;12390;2055;1030;345;85;15;3905;1957;656;162;29
Alcatraz;Alcatraz;137;138;19577;12811;2075;1040;345;85;15;3943;1976;656;162;29
Alcatraz;Alcatraz;138;139;20066;13216;2095;1050;350;90;20;3981;1995;665;171;38
Alcatraz;Alcatraz;139;140;20568;13680;2110;1055;350;90;20;4009;2005;665;171;38
Alcatraz;Alcatraz;140;141;21082;14127;2130;1065;355;90;20;4047;2024;675;171;38
Alcatraz;Alcatraz;141;142;21609;14597;2145;1075;360;90;20;4076;2043;684;171;38
Alcatraz;Alcatraz;142;143;22149;15080;2165;1085;360;90;20;4114;2062;684;171;38
Alcatraz;Alcatraz;143;144;22703;15567;2185;1095;365;90;20;4152;2081;694;171;38
Alcatraz;Alcatraz;144;145;23271;16098;2200;1100;365;90;20;4180;2090;694;171;38
Alcatraz;Alcatraz;145;146;23852;16603;2220;1110;370;95;20;4218;2109;703;181;38
Alcatraz;Alcatraz;146;147;24449;17133;2240;1120;375;95;20;4256;2128;713;181;38
Alcatraz;Alcatraz;147;148;25060;17696;2255;1130;375;95;20;4285;2147;713;181;38
Alcatraz;Alcatraz;148;149;25686;18256;2275;1140;380;95;20;4323;2166;722;181;38
Alcatraz;Alcatraz;149;150;26329;18832;2295;1150;385;95;20;4361;2185;732;181;38
Alcatraz;Alcatraz;150;151;26987;19452;2310;1155;385;95;20;4389;2195;732;181;38
Alcatraz;Alcatraz;151;152;27661;20051;2330;1165;390;100;20;4427;2214;741;190;38
Alcatraz;Alcatraz;152;153;28353;20686;2350;1175;390;100;20;4465;2233;741;190;38
Alcatraz;Alcatraz;153;154;29062;21337;2365;1185;395;100;20;4494;2252;751;190;38
Alcatraz;Alcatraz;154;155;29788;21997;2385;1195;400;100;20;4532;2271;760;190;38
Alcatraz;Alcatraz;155;156;30533;22685;2405;1205;400;100;20;4570;2290;760;190;38
Alcatraz;Alcatraz;156;157;31296;23401;2420;1210;405;100;20;4598;2299;770;190;38
Alcatraz;Alcatraz;157;158;32079;24127;2440;1220;405;100;20;4636;2318;770;190;38
Alcatraz;Alcatraz;158;159;32881;24853;2460;1230;410;105;20;4674;2337;779;200;38
Alcatraz;Alcatraz;159;160;33703;25608;2480;1240;415;105;20;4712;2356;789;200;38
Alcatraz;Alcatraz;160;161;34545;26402;2495;1250;415;105;20;4741;2375;789;200;38
Alcatraz;Alcatraz;161;162;35409;27200;2515;1260;420;105;20;4779;2394;798;200;38
Alcatraz;Alcatraz;162;163;36294;28018;2535;1270;425;105;20;4817;2413;808;200;38
Alcatraz;Alcatraz;163;164;37201;28868;2555;1280;425;105;20;4855;2432;808;200;38
Alcatraz;Alcatraz;164;165;38131;29742;2570;1285;430;110;20;4883;2442;817;209;38
Alcatraz;Alcatraz;165;166;39085;30639;2590;1295;430;110;20;4921;2461;817;209;38
Alcatraz;Alcatraz;166;167;40062;31549;2610;1305;435;110;20;4959;2480;827;209;38
Alcatraz;Alcatraz;167;168;41063;32484;2630;1315;440;110;20;4997;2499;836;209;38
Alcatraz;Alcatraz;168;169;42090;33463;2645;1325;440;110;20;5026;2518;836;209;38
Alcatraz;Alcatraz;169;170;43142;34448;2665;1335;445;110;20;5064;2537;846;209;38
Alcatraz;Alcatraz;170;171;44221;35441;2685;1345;450;115;25;5102;2556;855;219;48
Alcatraz;Alcatraz;171;172;45326;36489;2705;1355;450;115;25;5140;2575;855;219;48
